GEO_ID,NAME,B05012_003E
34001,"Atlantic County, New Jersey",45372
34003,"Bergen County, New Jersey",279656
34005,"Burlington County, New Jersey",41960
34007,"Camden County, New Jersey",55877
34009,"Cape May County, New Jersey",5346
34011,"Cumberland County, New Jersey",16336
34013,"Essex County, New Jersey",202010
34015,"Gloucester County, New Jersey",15812
34017,"Hudson County, New Jersey",277730
34019,"Hunterdon County, New Jersey",10966
34021,"Mercer County, New Jersey",79518
34023,"Middlesex County, New Jersey",264756
34025,"Monmouth County, New Jersey",83684
34027,"Morris County, New Jersey",93590
34029,"Ocean County, New Jersey",46276
34031,"Passaic County, New Jersey",143616
34033,"Salem County, New Jersey",3412
34035,"Somerset County, New Jersey",79976
34037,"Sussex County, New Jersey",11316
34039,"Union County, New Jersey",162001
34041,"Warren County, New Jersey",9915
