Entity,Code,FIRES_2020,LAND_AREA_SQMi,FIRES_PER_SQMi,Latitude,Longitude
Argentina,ARG,41326,1056641.916,3911.07,-35.3813488,-65.17980693
Chile,CHL,2800,287187.4187,974.97,-37.73707099,-71.38256213
Uruguay,URY,802,67573.66928,1186.85,-32.79951534,-56.01800705
Paraguay,PRY,18778,153399.1598,12241.27,-23.22823913,-58.40013703
Bolivia,BOL,8659,418264.8545,2070.22,-16.70814787,-64.68538645
Peru,PER,5979,494209.2185,1209.81,-9.152803813,-74.38242685
Ecuador,ECU,421,106888.9077,393.87,-1.423816125,-78.75201923
Venezuela,VEN,34676,340561.4089,10182.01,7.124224213,-66.18184123
Colombia,COL,19721,401044.3121,4917.41,3.913834307,-73.08114582
Suriname,SUR,168,60231.9367,278.92,4.13055413,-55.9123457
French Guiana,FRA,18,32253,55.81,,
Guyana,GUY,820,76003.82381,1079.89,4.79378034,-58.98202459
Brazil,BRA,"74,119",3227095.895,2296.77,-10.78777702,-53.09783113
